intent,nombre,categoria_amigable,prioridad,area_responsable,recomendacion
cancel_order,Cancelar pedido,Pedidos,Media,Gestión de pedidos,"Validar el estado actual del pedido antes de confirmar la cancelación. Si el pedido aún no ha sido despachado, gestionar la cancelación directamente y notificar al cliente. Si ya fue enviado, explicar las alternativas disponibles, como devolución, rechazo de entrega o solicitud de reembolso según las políticas de la empresa."
change_order,Modificar pedido,Pedidos,Media,Gestión de pedidos,"Revisar si el pedido todavía permite modificaciones en productos, cantidades o características. Si el pedido está en preparación, actualizar la información solicitada y confirmar el cambio al cliente. Si el pedido ya fue procesado o enviado, informar que no es posible modificarlo directamente y orientar sobre cancelación, devolución o nuevo pedido."
change_shipping_address,Cambiar o corregir dirección de envío,Envíos y logística,Media,Logística y envíos,"Verificar si el pedido aún no ha sido despachado para actualizar o corregir la dirección de entrega de forma segura. Confirmar la nueva dirección con el cliente y validar cobertura, tiempos y posibles costos adicionales. Si el envío ya está en tránsito, contactar al operador logístico o informar al cliente las opciones disponibles para redirección o nueva entrega."
check_cancellation_fee,Consultar tarifa de cancelación,Pedidos,Baja,Atención al cliente,"Consultar las políticas de cancelación aplicables al tipo de compra o servicio solicitado. Informar al cliente si existe algún costo, penalidad o condición especial por cancelar. Explicar de forma clara los casos en los que la cancelación es gratuita y los casos en los que puede generar un cargo adicional."
check_invoice,Consultar estado de factura,Facturación,Baja,Facturación,"Verificar si la factura ya fue generada y si está asociada correctamente a la compra, cuenta o pedido del cliente. Informar el estado de la factura y orientar al cliente sobre dónde puede consultarla o descargarla. Si existe un error en los datos de facturación, escalar el caso para revisión y corrección."
check_payment_methods,Consultar métodos de pago,Pagos,Baja,Pagos y facturación,"Informar al cliente los métodos de pago disponibles, como tarjeta, transferencia, billetera digital u otros canales habilitados. Aclarar condiciones importantes, como tiempos de validación, restricciones por país, costos adicionales o pasos de confirmación. Si el cliente tiene dificultades con un método específico, orientar hacia una alternativa segura."
check_refund_policy,Consultar política de reembolso,Reembolsos,Baja,Atención al cliente,"Explicar al cliente las condiciones necesarias para solicitar un reembolso, incluyendo plazos, estado del producto o servicio, documentos requeridos y tiempos estimados de respuesta. Aclarar que la aprobación depende de la validación del caso y orientar sobre el canal correcto para iniciar la solicitud."
complaint,Queja o reclamo,Servicio al cliente,Alta,Servicio al cliente / Calidad,"Registrar formalmente la queja, asignar un número de caso y recopilar la información necesaria para analizar el problema. Validar si el caso requiere atención prioritaria por afectación económica, incumplimiento del servicio o mala experiencia del cliente. Escalar al área responsable y hacer seguimiento hasta entregar una respuesta clara y oportuna."
service_quality_issue,Mala atención o trato deficiente,Servicio al cliente,Alta,Servicio al cliente / Calidad,"Registrar incidencias de mala atención, mal trato o experiencia deficiente y escalar el caso para revisión del área responsable. Recopilar el detalle del incidente, el canal donde ocurrió y el impacto percibido por el cliente para tomar acciones correctivas."
contact_customer_service,Contactar servicio al cliente,Atención general,Media,Servicio al cliente,"Dirigir al cliente al canal de atención adecuado según el tipo de solicitud. Si el mensaje no contiene suficiente detalle, solicitar información adicional para clasificar correctamente el caso. Registrar la solicitud y garantizar que sea atendida por el área correspondiente dentro de los tiempos definidos."
contact_human_agent,Contactar asesor humano,Atención general,Media,Servicio al cliente,"Transferir la solicitud a un asesor humano cuando el cliente requiere atención personalizada, explicación detallada o solución que no puede resolverse automáticamente. Antes de escalar, recopilar el motivo de contacto y los datos necesarios para evitar que el cliente repita información durante la atención."
