intent,text
cancel_order,¿Me pueden ayudar a cancel order mi pedido?
cancel_order,Quisiera cancel order un pedido
cancel_order,Necesito cancel order mi pedido
cancel_order,¿Cómo puedo cancel order mi pedido?
cancel_order,¿Me pueden ayudar a cancel order mi pedido?
cancel_order,¿Me pueden ayudar a cancel order un pedido?
cancel_order,No sé cómo cancel order mi pedido
cancel_order,No sé cómo cancel order el pedido {{Order Number}}
cancel_order,Quisiera cancel order mi pedido
cancel_order,Quisiera cancel order mi pedido
cancel_order,¿Cómo puedo cancel order un pedido?
cancel_order,No sé cómo cancel order mi pedido
cancel_order,No sé cómo cancel order mi pedido
cancel_order,¿Me pueden ayudar a cancel order un pedido?
cancel_order,¿Me pueden ayudar a cancel order un pedido?
cancel_order,Ayuda para cancel order mi pedido
cancel_order,Ayuda para cancel order un pedido
cancel_order,Necesito cancel order mi pedido
cancel_order,¿Cómo puedo cancel order un pedido?
cancel_order,Ayuda para cancel order el pedido {{Order Number}}
cancel_order,Necesito cancel order mi pedido
cancel_order,¿Cómo puedo cancel order el pedido {{Order Number}}?
cancel_order,Quisiera cancel order mi pedido
cancel_order,Ayuda para cancel order mi pedido
cancel_order,Necesito cancel order el pedido {{Order Number}}
cancel_order,No sé cómo cancel order el pedido {{Order Number}}
cancel_order,Quisiera cancel order un pedido
cancel_order,Ayuda para cancel order un pedido
cancel_order,Quisiera cancel order el pedido {{Order Number}}
cancel_order,Quisiera cancel order un pedido
cancel_order,Necesito cancel order un pedido
cancel_order,No sé cómo cancel order el pedido {{Order Number}}
cancel_order,No sé cómo cancel order mi pedido
cancel_order,¿Me pueden ayudar a cancel order mi pedido?
cancel_order,Quisiera cancel order un pedido
cancel_order,¿Cómo puedo cancel order el pedido {{Order Number}}?
cancel_order,Quisiera cancel order mi pedido
cancel_order,Quisiera cancel order el pedido {{Order Number}}
cancel_order,Necesito cancel order el pedido {{Order Number}}
cancel_order,¿Me pueden ayudar a cancel order el pedido {{Order Number}}?
cancel_order,¿Cómo puedo cancel order el pedido {{Order Number}}?
cancel_order,Necesito cancel order mi pedido
cancel_order,¿Me pueden ayudar a cancel order el pedido {{Order Number}}?
cancel_order,¿Me pueden ayudar a cancel order un pedido?
cancel_order,¿Me pueden ayudar a cancel order mi pedido?
cancel_order,No sé cómo cancel order un pedido
cancel_order,¿Cómo puedo cancel order un pedido?
cancel_order,¿Me pueden ayudar a cancel order mi pedido?
cancel_order,¿Cómo puedo cancel order el pedido {{Order Number}}?
cancel_order,Ayuda para cancel order el pedido {{Order Number}}
cancel_order,¿Me pueden ayudar a cancel order un pedido?
cancel_order,No sé cómo cancel order mi pedido
cancel_order,¿Me pueden ayudar a cancel order el pedido {{Order Number}}?
cancel_order,Quisiera cancel order mi pedido
cancel_order,Quisiera cancel order el pedido {{Order Number}}
cancel_order,Ayuda para cancel order el pedido {{Order Number}}
cancel_order,Quisiera cancel order mi pedido
cancel_order,No sé cómo cancel order un pedido
cancel_order,Necesito cancel order mi pedido
cancel_order,¿Me pueden ayudar a cancel order el pedido {{Order Number}}?
cancel_order,Ayuda para cancel order un pedido
cancel_order,Ayuda para cancel order mi pedido
cancel_order,Necesito cancel order mi pedido
cancel_order,¿Cómo puedo cancel order un pedido?
cancel_order,No sé cómo cancel order un pedido
cancel_order,Necesito cancel order un pedido
cancel_order,No sé cómo cancel order el pedido {{Order Number}}
cancel_order,No sé cómo cancel order el pedido {{Order Number}}
cancel_order,Necesito cancel order mi pedido
cancel_order,¿Cómo puedo cancel order un pedido?
cancel_order,Ayuda para cancel order mi pedido
cancel_order,Quisiera cancel order mi pedido
cancel_order,¿Cómo puedo cancel order un pedido?
cancel_order,¿Cómo puedo cancel order un pedido?
cancel_order,Ayuda para cancel order un pedido
cancel_order,Quisiera cancel order el pedido {{Order Number}}
cancel_order,Ayuda para cancel order un pedido
cancel_order,Ayuda para cancel order un pedido
cancel_order,Necesito cancel order un pedido
cancel_order,Quisiera cancel order un pedido
change_order,¿Me pueden ayudar a change order mi pedido?
change_order,¿Me pueden ayudar a change order un pedido?
change_order,Necesito change order un pedido
change_order,Necesito change order mi pedido
change_order,Necesito change order el pedido {{Order Number}}
change_order,¿Cómo puedo change order el pedido {{Order Number}}?
change_order,Quisiera change order un pedido
