instruction,category,intent
tengo un problema al crear una cuenta platino,ACCOUNT,create_account
necesito ayuda para informar sobre problemas de registro,ACCOUNT,registration_problems
no estoy registrado cómo puedo abrir una cuenta pro con ustedes,ACCOUNT,create_account
espero un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund
podrías ayudarme a encontrar la factura n 00108,INVOICE,check_invoice
no sé cómo puedo pedir algunos de sus artículos,ORDER,place_order
necesito ayuda para comprobar la fecha estimada de entrega del pedido numero_pedido,ORDER,track_order
tengo que dejar un comentario necesito ayuda,FEEDBACK,review
envíos a ciudad_entrega,DELIVERY,delivery_options
tengo que corregir la información incluida en mi perfil ayúdenme,ACCOUNT,edit_account
tengo que recibir el boletín informativo cómo puedo hacerlo,SUBSCRIPTION,newsletter_subscription
dónde puedo presentar una reclamación como cliente contra su organización,FEEDBACK,complaint
tengo que ver qué opciones de envío ofrecen necesito ayuda,DELIVERY,delivery_options
estoy esperando un reembolso de monto_reembolso dólares,REFUND,track_refund
cómo puedo solicitar un reembolso,REFUND,get_refund
necesito ayuda para recuperar mi contraseña de perfil,ACCOUNT,recover_password
quiero ayuda para reportar errores en un registro,ACCOUNT,registration_problems
no sé qué tengo que hacer para recuperar mi dinero,REFUND,get_refund
necesito ayuda para reportar problemas con un registro,ACCOUNT,registration_problems
tengo que editar algunos de mis datos de usuario cómo puedo hacerlo,ACCOUNT,edit_account
necesito ayuda para informar sobre problemas con el pago,PAYMENT,payment_issue
cómo puedo consultar el cargo por cancelación,CANCEL,check_cancellation_fee
ver estadísticas del pedido numero_pedido,ORDER,track_order
no sé qué debo hacer para obtener la factura n 00108,INVOICE,get_invoice
espero una maldita compensación de simbolo_moneda monto_reembolso,REFUND,track_refund
no puedo hablar con una persona,CONTACT,contact_human_agent
intento dejar una reseña de un producto,FEEDBACK,review
quiero ayuda para enviar comentarios sobre sus productos,FEEDBACK,review
no sé cómo puedo enumerar las opciones de pago permitidas,PAYMENT,check_payment_methods
intento comprobar las exaltidades de terminación,CANCEL,check_cancellation_fee
necesito ayuda para comunicarme con el servicio al cliente,CONTACT,contact_customer_service
quiero ayuda para escribir un maldito comentario sobre su empresa,FEEDBACK,review
