instruction,category,intent,source
tengo un problema al crear una cuenta platino,ACCOUNT,create_account,original
necesito ayuda para informar sobre problemas de registro,ACCOUNT,registration_problems,original
no estoy registrado cómo puedo abrir una cuenta pro con ustedes,ACCOUNT,create_account,original
espero un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund,original
podrías ayudarme a encontrar la factura n 00108,INVOICE,check_invoice,original
no sé cómo puedo pedir algunos de sus artículos,ORDER,place_order,original
necesito ayuda para comprobar la fecha estimada de entrega del pedido numero_pedido,ORDER,track_order,original
tengo que dejar un comentario necesito ayuda,FEEDBACK,review,original
envíos a ciudad_entrega,DELIVERY,delivery_options,original
tengo que corregir la información incluida en mi perfil ayúdenme,ACCOUNT,edit_account,original
tengo que recibir el boletín informativo cómo puedo hacerlo,SUBSCRIPTION,newsletter_subscription,original
dónde puedo presentar una reclamación como cliente contra su organización,FEEDBACK,complaint,original
tengo que ver qué opciones de envío ofrecen necesito ayuda,DELIVERY,delivery_options,original
estoy esperando un reembolso de monto_reembolso dólares,REFUND,track_refund,original
cómo puedo solicitar un reembolso,REFUND,get_refund,original
necesito ayuda para recuperar mi contraseña de perfil,ACCOUNT,recover_password,original
quiero ayuda para reportar errores en un registro,ACCOUNT,registration_problems,original
no sé qué tengo que hacer para recuperar mi dinero,REFUND,get_refund,original
necesito ayuda para reportar problemas con un registro,ACCOUNT,registration_problems,original
tengo que editar algunos de mis datos de usuario cómo puedo hacerlo,ACCOUNT,edit_account,original
necesito ayuda para informar sobre problemas con el pago,PAYMENT,payment_issue,original
cómo puedo consultar el cargo por cancelación,CANCEL,check_cancellation_fee,original
ver estadísticas del pedido numero_pedido,ORDER,track_order,original
no sé qué debo hacer para obtener la factura n 00108,INVOICE,get_invoice,original
espero una maldita compensación de simbolo_moneda monto_reembolso,REFUND,track_refund,original
no puedo hablar con una persona,CONTACT,contact_human_agent,original
intento dejar una reseña de un producto,FEEDBACK,review,original
quiero ayuda para enviar comentarios sobre sus productos,FEEDBACK,review,original
