intent,nombre,categoria_amigable,descripcion_corta,example_1,example_2,example_3
cancel_order,Cancelar pedido,Pedidos,"Validar el estado actual del pedido antes de confirmar la cancelación. Si el pedido aún no ha sido despachado, gestionar la cancelación directamente y notificar al cliente. Si ya fue enviado, explicar",Quiero cancelar pedido,Necesito ayuda con cancelar pedido,¿Cómo puedo cancelar pedido?
change_order,Modificar pedido,Pedidos,"Revisar si el pedido todavía permite modificaciones en productos, cantidades o características. Si el pedido está en preparación, actualizar la información solicitada y confirmar el cambio al cliente.",Quiero modificar pedido,Necesito ayuda con modificar pedido,¿Cómo puedo modificar pedido?
change_shipping_address,Cambiar o corregir dirección de envío,Envíos y logística,"Verificar si el pedido aún no ha sido despachado para actualizar o corregir la dirección de entrega de forma segura. Confirmar la nueva dirección con el cliente y validar cobertura, tiempos y posibles",Quiero cambiar o corregir dirección de envío,Necesito ayuda con cambiar o corregir dirección de envío,¿Cómo puedo cambiar o corregir dirección de envío?
check_cancellation_fee,Consultar tarifa de cancelación,Pedidos,"Consultar las políticas de cancelación aplicables al tipo de compra o servicio solicitado. Informar al cliente si existe algún costo, penalidad o condición especial por cancelar. Explicar de forma cla",Quiero consultar tarifa de cancelación,Necesito ayuda con consultar tarifa de cancelación,¿Cómo puedo consultar tarifa de cancelación?
check_invoice,Consultar estado de factura,Facturación,"Verificar si la factura ya fue generada y si está asociada correctamente a la compra, cuenta o pedido del cliente. Informar el estado de la factura y orientar al cliente sobre dónde puede consultarla ",Quiero consultar estado de factura,Necesito ayuda con consultar estado de factura,¿Cómo puedo consultar estado de factura?
check_payment_methods,Consultar métodos de pago,Pagos,"Informar al cliente los métodos de pago disponibles, como tarjeta, transferencia, billetera digital u otros canales habilitados. Aclarar condiciones importantes, como tiempos de validación, restriccio",Quiero consultar métodos de pago,Necesito ayuda con consultar métodos de pago,¿Cómo puedo consultar métodos de pago?
check_refund_policy,Consultar política de reembolso,Reembolsos,"Explicar al cliente las condiciones necesarias para solicitar un reembolso, incluyendo plazos, estado del producto o servicio, documentos requeridos y tiempos estimados de respuesta. Aclarar que la ap",Quiero consultar política de reembolso,Necesito ayuda con consultar política de reembolso,¿Cómo puedo consultar política de reembolso?
complaint,Queja o reclamo,Servicio al cliente,"Registrar formalmente la queja, asignar un número de caso y recopilar la información necesaria para analizar el problema. Validar si el caso requiere atención prioritaria por afectación económica, inc",Quiero queja o reclamo,Necesito ayuda con queja o reclamo,¿Cómo puedo queja o reclamo?
service_quality_issue,Mala atención o trato deficiente,Servicio al cliente,"Registrar incidencias de mala atención, mal trato o experiencia deficiente y escalar el caso para revisión del área responsable. Recopilar el detalle del incidente, el canal donde ocurrió y el impacto",Quiero mala atención o trato deficiente,Necesito ayuda con mala atención o trato deficiente,¿Cómo puedo mala atención o trato deficiente?
contact_customer_service,Contactar servicio al cliente,Atención general,"Dirigir al cliente al canal de atención adecuado según el tipo de solicitud. Si el mensaje no contiene suficiente detalle, solicitar información adicional para clasificar correctamente el caso. Regist",Quiero contactar servicio al cliente,Necesito ayuda con contactar servicio al cliente,¿Cómo puedo contactar servicio al cliente?
contact_human_agent,Contactar asesor humano,Atención general,"Transferir la solicitud a un asesor humano cuando el cliente requiere atención personalizada, explicación detallada o solución que no puede resolverse automáticamente. Antes de escalar, recopilar el m",Quiero contactar asesor humano,Necesito ayuda con contactar asesor humano,¿Cómo puedo contactar asesor humano?
