instruction,category,intent,instruction_es
have a problem with creating a platinum account,ACCOUNT,create_account,Tengo un problema al crear una cuenta platino.
I need assistance informing of bloody registration issues,ACCOUNT,registration_problems,Necesito ayuda para informar sobre problemas de registro.
"I am not registered, how to open a pro account with you?",ACCOUNT,create_account,"No estoy registrado, ¿cómo puedo abrir una cuenta Pro con ustedes?"
i expect a reimbursxement of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,Espero un reembolso de {{Moneda Símbolo}}{{Importe del Reembolso}}
can you help me seeing the invoice #00108?,INVOICE,check_invoice,¿Podrías ayudarme a encontrar la factura n.° 00108?
I don't know how I can order a few of your article,ORDER,place_order,No sé cómo puedo pedir algunos de sus artículos.
need help checking the eta of the order {{Order Number}},ORDER,track_order,Necesito ayuda para comprobar la fecha estimada de entrega del pedido {{Número de pedido}}.
"I have to leave a comment, I need assistance",FEEDBACK,review,"Tengo que dejar un comentario, necesito ayuda."
shipmetns to {{Delivery City}},DELIVERY,delivery_options,Envíos a {{Ciudad de entrega}}
"I have to correct the info included on my profile, help me",ACCOUNT,edit_account,"Tengo que corregir la información incluida en mi perfil, ayúdenme."
"I have to receive the newsletter, how could I do it?",SUBSCRIPTION,newsletter_subscription,"Tengo que recibir el boletín informativo, ¿cómo puedo hacerlo?"
where do I file an customer claim against your organization?,FEEDBACK,complaint,¿Dónde puedo presentar una reclamación como cliente contra su organización?
"I have to see what shipment options you offer, I need help",DELIVERY,delivery_options,"Tengo que ver qué opciones de envío ofrecen, necesito ayuda."
I am waiting for a reimbursement of {{Refund Amount}} dollars,REFUND,track_refund,Estoy esperando un reembolso de {{Refund Amount}} dólares.
how can i demand refunds,REFUND,get_refund,¿Cómo puedo solicitar un reembolso?
i want assistance retrieving my profile pass,ACCOUNT,recover_password,Necesito ayuda para recuperar mi contraseña de perfil.
i want assistance reporting errors with a signup,ACCOUNT,registration_problems,Quiero ayuda para reportar errores en un registro.
i do not know what i have to do to get my money back,REFUND,get_refund,No sé qué tengo que hacer para recuperar mi dinero.
need help to report problems with a registratoon,ACCOUNT,registration_problems,Necesito ayuda para reportar problemas con un registro.
"I have to edit some of my user details, how to do it?",ACCOUNT,edit_account,"Tengo que editar algunos de mis datos de usuario, ¿cómo puedo hacerlo?"
i need assistance to inform of problems with payment,PAYMENT,payment_issue,Necesito ayuda para informar sobre problemas con el pago.
how do I check the termination charge?,CANCEL,check_cancellation_fee,¿Cómo puedo consultar el cargo por cancelación?
see order {{Order Number}} stats,ORDER,track_order,ver estadísticas del pedido {{Número de pedido}}
